2024-10-11 15:33:57 INFO: Connecting to 149.154.167.51:443/TcpFull...
2024-10-11 15:33:59 INFO: Connection to 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Phone migrated to 4
2024-10-11 15:34:00 INFO: Reconnecting to new data center 4
2024-10-11 15:34:00 INFO: Disconnecting from 149.154.167.51:443/TcpFull...
2024-10-11 15:34:00 INFO: Disconnection from 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Connecting to 149.154.167.92:443/TcpFull...
2024-10-11 16:00:02 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:09 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:11 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:16 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:20 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:22 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:25 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:27 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:31 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:35 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:36 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:37 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:38 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:38 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:39 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:40 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:40 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:42 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:42 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:43 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:43 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:45 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:52 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:54 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:56 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:57 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:58 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:59 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:59 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:02 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:02 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:03 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:06 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:06 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:06 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:01:07 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
